Skill Name,Element Group,Difficulty,Event
Hdspr. fwd. and salto fwd. t. w. 1/1 t. (Cuervo t. w. ½ t.). 3. 2,,,VT
Hdspr. fwd. and salto fwd. t. w. 3/2 t. (Cuervo t. w. 1/1 t.). (Kroll) 3. 6,,,VT
Hdspr. fwd. and salto fwd. t. w. 2/1 t. (or Cuervo t. w. 3/2 t.). (Canbas) 4. 0,,,VT
,,,VT
,,,VT
,,,VT
Hdspr. fwd. and salto fwd. p. w. 1/1 t. (Cuervo p. w. ½ t.).,,,VT
Hdspr. fwd. and salto fwd. p. w. 3/2 t. (Cuervo p. w. 1/1 t.).,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
6l,,,VT
0,,,VT
Hdspr. fwd. and salto fwd. str. w. ½ t. (Cuervo str.). 4. 0,,,VT
Hdspr. fwd. and salto fwd. str. w. 1/1 t. (Cuervo str. ½ t.). 4. 4,,,VT
Hdspr. fwd. and salto fwd. str. w. 3/2 t. (Cuervo str. w. 1/1 t.). (Lou-Yun) 4. 8,,,VT
Hdspr. fwd. and salto fwd. str. w. 2/1 t. (Cuervo str. 3/2 t.). 5. 2,,,VT
Handspring fwd. and salto fwd. str. w. 5/2 t. (Yeo 2) 5. 6,,,VT
Handspring fwd. and salto fwd. str. w. 3/1 t. (Yang Hak Seon) 6. 0,,,VT
Hdspr. sw. w. ¼ t. a. salto fwd. t. w. ½ t. or Tsuk. t. w. 1/1 t. (Kasamatsu) 2. 8,,,VT
Tsukahara t. w. 3/2 t.or Kasamatsu t. ½ t 3. 2,,,VT
Tsukahara t. with 2/1 t. (Barbieri) 3. 6,,,VT
Tsukahara t. with 5/2 t. (Shirai 3) 4. 0,,,VT
,,,VT
,,,VT
Tsukahara str. w. 1/1 t. or Kasamatsu str. 4. 0,,,VT
Kasamatsu str. with ½ t. or Tsukahara str. w. 3/2 t. 4. 4,,,VT
Kasamatsu str. w. 1/1 t. or Tsukahara str. w. 2/1 t (Akopian) 4. 8,,,VT
,,,VT
,,,VT
,,,VT
Kasamatsu str. with 3/2 t. (Driggs) 5. 2,,,VT
Kasamatsu str. with 2/1 t. (López) 5. 6,,,VT
Kasamatsu str. with 5/2 t. or Tsukahara str. with 7/2 t. (Yonekura) 6. 0,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Hdspr. fwd. and salto fwd. p. w. ½ t. (Cuervo p.). 3. 2,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Forward handspring.,,,VT
Forward handspring with ½ t.,,,VT
Forward handspring with 1/1 t.,,,VT
Forward handspring with 3/2 t.,,,VT
Forward handspring with 2/1 t.,,,VT
Forward handspring with 5/2 t. (Tsygankov),,,VT
6,,,VT
8,,,VT
0,,,VT
2,,,VT
4,,,VT
6,,,VT
Handspring fwd. and salto fwd. tucked. 2. 4,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Handspring fwd. and salto fwd. piked. 2. 8,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Handspring fwd. and salto fwd. str. 3. 6,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Handspring fwd. and dbl. salto fwd. t. (Roche) 5. 2,,,VT
Roche with ½ turn. (Dragulescu) 5. 6,,,VT
,,,VT
Handspring fwd. and salto fwd. t. w. ½ t. and salto bwd. t. (Zimmerman) 5. 6,,,VT
,,,VT
,,,VT
Handspring fwd. and dbl. salto fwd. piked. (Blanik) 5. 6,,,VT
Dragulescu piked. (RI Se Gwang 2) 6. 0,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
Handspring sw. with ¼ t. 1. 6,,,VT
Handspring sw. with 3/4 t. 1. 8,,,VT
Handspring sw. with 5/4 t. 2. 0,,,VT
,,,VT
,,,VT
,,,VT
Handspring sw. w. ¼ t. a. salto bwd. t. (Tsukahara) 2. 2,,,VT
Tsukahara piked. 2. 4,,,VT
Tsukahara t. with ½ t. 2. 4,,,VT
,,,VT
,,,VT
,,,VT
Tsukahara straight. 3. 2,,,VT
Tsukahara str. with ½ t. 3. 6,,,VT
,,,VT
,,,VT
,,,VT
Tsukahara with salto bwd. t. (Yeo),,,VT
Tsukahara with salto bwd. piked. (Lu Yu Fu) 5. 6,,,VT
Double Tsukahara with 1/1 twist. (Ri Se Gwang) 6. 0,,,VT
,,,VT
,,,VT
,,,VT
2,,,VT
"Round off, handspring bwd. 1. 6",,,VT
"Round off, handspring bwd. with ½ turn. 1. 8",,,VT
"Round off, handspring bwd. with 1/1 turn. 2. 0",,,VT
,,,VT
,,,VT
,,,VT
"Round off, hdspr. bwd. and salto bwd. t. (Yurchenko) 2. 2",,,VT
Yurchenko t. with ½ t. 2. 4,,,VT
Yurchenko t. with 1/1 t. 2. 8,,,VT
Yurchenko t. with 3/2 t. 3. 2,,,VT
Yurchenko t. with 2/1 t. 3. 6,,,VT
,,,VT
Yurchenko piked. 2. 4,,,VT
Yurchenko straight. 3. 2,,,VT
Yurchenko straight with ½ t. 3. 6,,,VT
Yurchenko straight with 1/1 t. 4. 0,,,VT
Yurchenko straight with 3/2 t. 4. 4,,,VT
Yurchenko straight with 2/1 t. 4. 8,,,VT
Yurchenko straight with 5/2 t. (Shewfelt) 5. 2,,,VT
Yurchenko Straight 3/1 t. (Shirai - KIM Hee Hoon) 5. 6,,,VT
Yurchenko Straight 7/2 t. (Shirai 2) 6. 0,,,VT
,,,VT
,,,VT
,,,VT
Yurchenko and salto bwd. tucked. (Melissanidis) 5. 2,,,VT
Melissanidis piked. (Yang Wei) 5. 6,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
"Round off, ½ t. and handspring fwd. 1. 8",,,VT
"Round off, ½ t. and hdspr. fwd. with ½ t. 2. 0",,,VT
"Round off, ½ t. and hdspr. fwd. with 1/1 t. 2. 2",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. tucked. 2. 6",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. tucked with ½ t. 3. 0",,,VT
,,,VT
"Round off, ½ t. a. hdspr. fwd. and salto fwd. p. 3. 0",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. p. with ½ t. (Nemov) 3. 4",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. str. 3. 8",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. str. with ½ t. (Hutcheon) 4. 2",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. str. with 1/1 t. 4. 6",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. straight with 3/2 t. 5. 0",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. straight with 2/1 t. 5. 4",,,VT
"Round off, ½ t. and hdspr. fwd. and salto fwd. str. with 5/2 t. (Li Xiao Peng) 5. 8",,,VT
.,,,VT
,,,VT
,,,VT
,,,VT
"Round off, ½ t. a. hdspr. fwd. and double salto fwd. tucked. 5. 4",,,VT
,,,VT
,,,VT
,,,VT
,,,VT
,,,VT
